Gerätenummer;Mitarbeiter-ID;Ausgabe am;Rückgabe am;Gerätetyp;Modell;Kaufdatum;Netto-Kaufpreis;Standort;Name;Abteilung;Standort2
G0015;1002;15.08.24;;Smartphone;iPhone 13;20.09.22;661,44 €;München;Eleni Hauffer;IT;Berlin
G0022;1002;30.08.25;30.09.25;Tablet;iPad;20.08.24;1.591,98 €;Hamburg;Eleni Hauffer;IT;Berlin
G0018;1011;03.10.24;27.11.24;Tablet;iPad;05.10.22;1.688,07 €;München;Auguste Davids;IT;Hamburg
G0035;1003;05.05.24;;Beamer;BenQ MW550;03.01.24;644,54 €;Berlin;Paul Dobes-Stiffel;Produktion;Hamburg
G0031;1004;29.01.24;;Laptop;HP EliteBook;28.04.25;1.095,62 €;München;Klemens Löffler;Vertrieb;Hamburg
G0027;1004;21.04.24;01.07.25;Monitor;Samsung Curved;24.07.22;501,64 €;München;Klemens Löffler;Vertrieb;Hamburg
G0028;1006;04.12.24;16.03.25;Beamer;Epson EB;19.01.23;1.246,58 €;Hamburg;Eric Patberg B.Sc.;Vertrieb;Hamburg
G0030;1012;15.05.25;05.09.25;Beamer;Epson EB;27.03.22;1.629,76 €;München;Ariane Klemt-Kaul;IT;München
G0007;1001;09.09.24;16.07.25;Laptop;Lenovo ThinkPad;13.06.21;869,09 €;Hamburg;Aleksandr Weinhage;IT;Berlin
G0022;1002;20.07.24;06.01.25;Tablet;iPad;20.08.24;1.591,98 €;Hamburg;Eleni Hauffer;IT;Berlin
G0013;1009;28.01.24;26.02.25;Drucker;Canon Pixma;16.05.21;1.898,65 €;Hamburg;Univ.Prof. Heimo Karge;Marketing;Hamburg
G0028;1003;30.10.24;04.12.24;Beamer;Epson EB;19.01.23;1.246,58 €;Hamburg;Paul Dobes-Stiffel;Produktion;Hamburg
G0016;1002;22.05.25;31.05.25;Drucker;Canon Pixma;30.03.23;1.501,06 €;Berlin;Eleni Hauffer;IT;Berlin
G0007;1001;11.08.25;;Laptop;Lenovo ThinkPad;13.06.21;869,09 €;Hamburg;Aleksandr Weinhage;IT;Berlin
G0035;1001;06.01.24;;Beamer;BenQ MW550;03.01.24;644,54 €;Berlin;Aleksandr Weinhage;IT;Berlin
G0016;1003;08.02.24;09.06.25;Drucker;Canon Pixma;30.03.23;1.501,06 €;Berlin;Paul Dobes-Stiffel;Produktion;Hamburg
G0031;1004;14.02.24;;Laptop;HP EliteBook;28.04.25;1.095,62 €;München;Klemens Löffler;Vertrieb;Hamburg
G0004;1003;19.06.25;08.09.25;Laptop;Dell XPS;05.05.25;1.007,88 €;München;Paul Dobes-Stiffel;Produktion;Hamburg
G0025;1005;18.01.25;;Beamer;Epson EB;06.12.23;545,46 €;Berlin;Alexandre Davids;Vertrieb;Berlin
G0030;1005;01.12.23;24.09.24;Beamer;Epson EB;27.03.22;1.629,76 €;München;Alexandre Davids;Vertrieb;Berlin
G0032;1003;04.08.24;02.08.25;Laptop;Lenovo ThinkPad;11.11.22;1.801,36 €;München;Paul Dobes-Stiffel;Produktion;Hamburg
G0014;1001;26.11.24;03.03.25;Laptop;Lenovo ThinkPad;03.03.21;1.415,97 €;Hamburg;Aleksandr Weinhage;IT;Berlin
G0035;1001;15.12.24;;Beamer;BenQ MW550;03.01.24;644,54 €;Berlin;Aleksandr Weinhage;IT;Berlin
G0004;1001;11.08.25;12.08.25;Laptop;Dell XPS;05.05.25;1.007,88 €;München;Aleksandr Weinhage;IT;Berlin
G0033;1009;24.03.25;07.05.25;Beamer;BenQ MW550;03.03.22;1.212,29 €;Berlin;Univ.Prof. Heimo Karge;Marketing;Hamburg
G0033;1002;25.03.25;;Beamer;BenQ MW550;03.03.22;1.212,29 €;Berlin;Eleni Hauffer;IT;Berlin
G0005;1010;30.08.25;25.09.25;Drucker;Canon Pixma;03.11.21;823,23 €;Berlin;Carolin Hande;IT;Hamburg
G0016;1007;18.05.25;08.07.25;Drucker;Canon Pixma;30.03.23;1.501,06 €;Berlin;Orhan Siering MBA.;IT;Berlin
G0016;1010;31.05.25;02.10.25;Drucker;Canon Pixma;30.03.23;1.501,06 €;Berlin;Carolin Hande;IT;Hamburg
G0006;1007;03.07.24;;Smartphone;Samsung S21;01.01.24;1.257,96 €;München;Orhan Siering MBA.;IT;Berlin
;;;;;;;;;;;
